"a","b","c","d"
2.17334542768134,1.19872095984119,2.35802196878692,0.514703689155537
2.15680514766432,1.1883451060417,2.43626259834976,0.546871419695752
2.14769087646379,1.18324358222334,2.51821049498403,0.561029843231228
2.18707819060795,1.18928475862959,2.48426739610568,0.558931697643986
2.18707819060795,1.18928475862959,2.48426739610568,0.558931697643986
2.10856455907619,1.16020706125801,2.51034776916902,0.569635587401177
2.10922144649399,1.1617119794275,2.47506590308605,0.556081403890846
2.14868403616819,1.151812035715,2.46944384418975,0.545692052115798
2.17429162433532,1.18724369585879,2.51109086589692,0.580361168686674
2.18847979622236,1.19079861956925,2.50513418816614,0.574775514426874
2.19476387426944,1.18213720947989,2.46726140247817,0.537734395506671
2.14722280375607,1.15638978489978,2.39626818109728,0.522731813331065
2.10620836743454,1.14331400009921,2.41888776247373,0.513350848484768
2.03617926636181,1.12154307693886,2.41729789636716,0.52595865554099
2.08106974166722,1.13121850162023,2.46273676696861,0.553859008427685
2.09880027878941,1.16798955609846,2.48365806388024,0.543716432030179
2.02992477761431,1.12298883539406,2.48297846935362,0.547059808068654
2.10093628948249,1.19704115024498,2.50519630102313,0.554413666310938
2.15351555653461,1.20316991637662,2.4651026249483,0.544467918054523
2.13999462835897,1.22095567249937,2.51280950998798,0.558485634629081
2.13201897585352,1.22472965175418,2.47764844675082,0.537006208652061
2.10763282834757,1.16993689670206,2.4078316476098,0.520677699810007
2.03858092786255,1.14179675826606,2.42885203639137,0.524961231621023
2.03134157790403,1.13009090828971,2.48181126957189,0.543291224245961
1.98128429347369,1.10474133487877,2.48845669524048,0.541012264480724
2.00291150099631,1.0943600194764,2.36817756615429,0.503547923673626
2.01790039221896,1.09829413365071,2.32074320670502,0.496849463138782
2.05315860552201,1.13483844446382,2.41541069658189,0.527686433645921
2.10446421077965,1.16180170889861,2.42907031048851,0.539598684644895
2.15922188131597,1.19220549950292,2.44157571706498,0.532817192859432
2.16433740779769,1.17308804655129,2.4361404958265,0.527511956169145
2.17624600974701,1.19542518673386,2.41961507424533,0.51748084048583
2.19870666415735,1.20005356450271,2.45896822531651,0.522115497279951
2.17932198028894,1.15542657126492,2.48545478820645,0.52640251862753
2.15532221900952,1.1788043676679,2.48097824895032,0.530044970868451
2.13771678889686,1.1401227343858,2.52354616104385,0.575020683025822
2.14588113705779,1.14865368433923,2.53096829024969,0.54621935665876
2.12326255700584,1.15204546077695,2.60506699610094,0.586424749063497
2.08536559542731,1.1587510482295,2.6211064742473,0.57051540980825
2.12558878370129,1.1441741653496,2.66438754897002,0.600694477674343
2.12082960095203,1.143127428048,2.69823676751797,0.591986395172174
2.09123927754796,1.14196360287835,2.66217309473722,0.580835967637758
2.09186825548007,1.16565675497532,2.57957064435489,0.547434070241414
2.14209381411144,1.19199463592877,2.60931558928529,0.566728378707444
2.15520642472521,1.21862640935201,2.68204808644476,0.585567629650506
2.10461270342999,1.17625067584219,2.73663530057534,0.60479217960439
2.08513756032798,1.18423172568148,2.77102171574434,0.617345350753902
2.07317864905008,1.15385546469317,2.70126017847041,0.605128907722853
2.04149092796645,1.14481423952109,2.75121433854452,0.608474931773852
2.07159730883201,1.14317451822878,2.70617639177315,0.602337737083135
2.02377660432453,1.12029309811953,2.64740860098819,0.594018202333065
1.98755419779593,1.10034964168006,2.64554211387162,0.58822633017539
2.05462475216393,1.15039817235236,2.67865124443213,0.587140535959078
2.12175743731805,1.15343522586034,2.68442898264582,0.61268279968496
2.13240597077574,1.19300734790734,2.70313550967016,0.612626224116555
2.1626328257554,1.17379381383511,2.65859080105516,0.589213303540033
2.11110138097751,1.18599594607068,2.69871758719629,0.607067102233318
2.11891748045085,1.15032586853754,2.71402702965928,0.61046371215026
2.05470497703137,1.12109469969585,2.70232744873423,0.596953639339
2.10721440598994,1.19347097714266,2.67593749764474,0.610597827631528
2.07685045110314,1.13001776322289,2.69566274698953,0.599052238351114
2.06764597806161,1.15957511418463,2.70070362485742,0.61188941681143
2.18020338932604,1.18805999303067,2.70609514348742,0.614147395939321
2.15989612096684,1.19474044772052,2.76941635410281,0.622104992218115
2.1366427342572,1.17530382342791,2.75265571803428,0.61716304634203
2.11917429817444,1.15837471312253,2.73784033617889,0.612962146695856
2.04711828828492,1.10524614877252,2.75841594470281,0.623117336513701
2.03344124362465,1.12120886408962,2.83399523624729,0.642777985512414
2.10547591880786,1.16429737650454,2.92173606493204,0.678708799169676
2.0921387287353,1.16024493918689,2.94555582597412,0.680845487660098
2.09503646787741,1.17298694445862,2.87664314535886,0.649104202206734
2.14630760131067,1.20398562946789,2.90576419125086,0.660138561864166
2.11674904485743,1.18853691601712,2.87729624028628,0.645896107409914
2.1207466847072,1.18946127247542,2.93639218438532,0.663829885117125
2.08243970422472,1.15592164762767,2.8681240530919,0.63713803459293
2.10724509723475,1.13895534818157,2.79964615223538,0.63340762795212
2.0674443377776,1.12688900506064,2.74107207371664,0.612299350913671
2.0722296795827,1.15157176283614,2.66779569552953,0.602608272818321
2.10724896161214,1.14355677398774,2.66215739231817,0.591297994916427
2.04968616596059,1.14399274404977,2.68459881895333,0.593773041974209
1.93430745470373,1.0274404775336,2.64827084479944,0.588867560277664
1.94666961997074,1.07926407244517,2.58816594571468,0.567449952393367
2.00429488989139,1.05873917571987,2.60213261175829,0.580043711206769
2.08486566326035,1.09467073665902,2.60866904671117,0.570733826524802
2.06207270142708,1.13935958999994,2.60961478555068,0.57363273135505
2.14462308468177,1.13598379552841,2.67706224361309,0.594452580741013
2.11583907176501,1.14005424634097,2.60236647444355,0.55994399207644
2.12204431572166,1.15961023896448,2.58256526524324,0.552948685849752
2.12213238282216,1.13630862817623,2.5314828333238,0.557182072142377
2.17835873794517,1.21722125444005,2.53529505150035,0.577322724331345
2.21622788490774,1.21552808330527,2.50848752983685,0.577511392876749
2.28049158664339,1.26452116489492,2.48068488006308,0.531839323619353
2.24325299103632,1.2161328826486,2.45447933244841,0.524871903942856
2.16874397794614,1.21944189747567,2.4410380735387,0.529894879122945
2.14225568234925,1.15505319165619,2.48331276088556,0.537993261183983
2.18046157020132,1.21734004829205,2.55971112743607,0.566477465305825
2.15316383063949,1.15446960466247,2.50846534698785,0.545928802246487
2.13699843255506,1.19070859493655,2.5047138762584,0.534840358349185
2.21089406901331,1.19792606742075,2.41782207315835,0.52476525345469
2.22946777729832,1.24496513777476,2.45060482428063,0.540032063285043
2.21255053046008,1.21922738452604,2.53376187439688,0.565479573455753
2.31672484005237,1.26947921895577,2.55295313871292,0.575356315902007
2.29363580361137,1.24557707415239,2.63362309723433,0.580569917362363
2.19172465392179,1.20288017836531,2.58587096467082,0.586929014862353
2.23739091283958,1.19873101458441,2.63537345392803,0.600324752300584
2.25889664011395,1.23603059119363,2.70619239372687,0.619389247830998
2.25139029716596,1.19362099233182,2.7151560394311,0.627677556277078
2.38099502549404,1.25576572511665,2.66135156285039,0.603859574677047
2.38851117835733,1.26729147211866,2.72403122542927,0.626393064108738
2.37269333134331,1.2417009172541,2.62247262520952,0.587245607293413
2.33685732571631,1.2236424464109,2.59327504595049,0.589565612954736
2.33489598759665,1.21822045919034,2.55205457996885,0.565258674474279
2.36396240598069,1.24432134081101,2.4865210986652,0.560755144305842
2.35515313435721,1.24217723757351,2.54235762900449,0.565911244660802
2.3228668762053,1.2282298395866,2.6228166833613,0.592883125530169
2.24192943264607,1.18440208225176,2.60305672508632,0.585109658772233
2.2825335305544,1.19310056687159,2.45887990858317,0.557154033001544
2.23626033170354,1.20724990846467,2.45367272718824,0.542876547857536
2.21489965468544,1.17322172930816,2.47808073462104,0.545486194920005
2.23870089187131,1.21132035563444,2.42334618279625,0.525034877457548
2.23739625735784,1.20657799431121,2.50893032265156,0.54847102334935
2.25363574024214,1.22661483893071,2.50203452173672,0.551268055752783
2.25055716995076,1.20895428716833,2.46395649937854,0.544789091815031
2.27338614603505,1.23108082420357,2.54004208726147,0.569028137438162
2.30131678565544,1.22366542210632,2.52704800487584,0.561861117508669
2.34472223193378,1.27967432011141,2.6294594837807,0.587036322107493
2.33510000241428,1.22304617810558,2.62158056095482,0.585801679055046
2.33028315445594,1.27079702863174,2.60449509398705,0.584365078436379
2.37574573374033,1.2539842165018,2.57494577533935,0.579011977740621
2.36054201401708,1.29918817738175,2.55432436155923,0.576357652587173
2.3596498722103,1.28002527316879,2.52059824597323,0.582328318141349
2.28460311699571,1.24524484858025,2.54620328261268,0.580853576835464
2.2935393897101,1.22805179808138,2.63936408605952,0.620340074267405
2.26310167170247,1.25818511581634,2.70116637334694,0.617447156241925
2.25272741549017,1.26447764668519,2.66008669398681,0.616433897895079
2.25564826607293,1.25935315324401,2.63937226461989,0.582480205893297
2.17561275900765,1.226959562041,2.6505149649148,0.621389209039959
2.21936265949749,1.23902204558087,2.62939289783635,0.602742347260695
2.23652893670368,1.23758472739654,2.66144964905082,0.605115173993765
2.32609796071015,1.31033209613414,2.54870504074112,0.583954488467073
2.28990593020333,1.25962548927808,2.51991109084341,0.565300472166024
2.3901921909435,1.29065501671394,2.51184716280908,0.582396982371771
2.4378371007486,1.34869585587404,2.46217494541842,0.546167976804438
2.413689443525,1.29595265491655,2.4061599835148,0.530606089848253
2.42262696529045,1.35258164966424,2.41892723123185,0.535200904198847
2.38580933060769,1.28178034180991,2.34364308347568,0.530656969441252
2.41305957562169,1.29060155663905,2.32170782607665,0.541948286916111
2.43450546247309,1.3300607693381,2.33344775122608,0.527222888896281
2.50952631159702,1.35264834992181,2.33215225874294,0.526051833566209
2.48666498389043,1.34741236928078,2.3806909287633,0.532880423727525
2.51943307338936,1.34833743940152,2.40121563266828,0.553667252153207
2.49570593440737,1.34229734090496,2.4692521506805,0.572236853364098
2.54241957788843,1.34479550386078,2.4899792283662,0.579472479998943
2.46978867441122,1.35070140657005,2.44820577058634,0.581351568196519
2.50609645247718,1.33471573214851,2.41515609055947,0.553895485212034
2.45793747455466,1.31885745956788,2.4788702240376,0.577105957860348
2.43459458795276,1.30695504717932,2.46816460707972,0.577176638918703
2.39722371761102,1.30430793691687,2.47293499027638,0.581156683324961
2.36109931528197,1.27026918861361,2.52863537978952,0.596209659408277
2.24552957374762,1.23565184909444,2.51309189369725,0.584417502746939
2.3284439317805,1.21268705744717,2.48192534292059,0.579232044756327
2.28335818415387,1.26877518721137,2.53895361619903,0.575521017194216
2.33328881734155,1.22055454342779,2.51716027759214,0.569010060582803
2.29235572054166,1.26266441982728,2.47155357073486,0.566689484937817
2.31421880387711,1.23240796088628,2.53455674205325,0.592905383639057
2.37559554360921,1.27243925114304,2.54273750019567,0.59516949212902
2.43362553590788,1.29483117025635,2.5156903855482,0.592868711876843
2.44560404194662,1.32137875751513,2.40205156463291,0.564762616610966
2.39722460739905,1.2743361530067,2.41452035488473,0.565958536052543
2.31881251505088,1.25022641710528,2.47623515312211,0.586929957026121
2.37443269092471,1.25725301038502,2.48636657528888,0.585456964708592
2.38697048057619,1.2454811663015,2.45401735650326,0.578037430487376
2.39035676656786,1.26883111062525,2.41174054062585,0.562219028778842
2.42657694823167,1.30609944427143,2.40062051485553,0.545636279473643
2.42030241732403,1.3076842451393,2.37540434753793,0.547339688281237
2.49577413667997,1.34707772970209,2.3783801552094,0.53892996937426
2.49369859476032,1.32656932718453,2.35950205360734,0.548712251526343
2.43182542692596,1.32722599223427,2.40901300745477,0.572210975857883
2.51319131983131,1.33808875461175,2.38012944419006,0.5643387312263
2.48986032476286,1.36033244291178,2.39495876826276,0.551213369316683
2.63850589481593,1.38261380377866,2.36793140882,0.552269952834101
2.53432902055319,1.38473610877768,2.31963438771744,0.540288864002339
2.55928949935495,1.33322797958364,2.27502893783899,0.550863348474255
2.62979378861626,1.38693659192324,2.26045511581471,0.541539525485184
2.64621862194745,1.3806919902676,2.28287807134108,0.549832971546646
2.65214226487898,1.36791932367574,2.26785993436221,0.548404228900033
2.58988339540545,1.35190557284911,2.2671558402146,0.552559713686841
2.64094924733437,1.35847490833686,2.27101234428988,0.540924504718996
2.64087676560658,1.36553127337783,2.35321031569255,0.568293415188677
2.71079567978186,1.36536731209341,2.3519331146761,0.578228003988814
2.76466092377344,1.42179261360093,2.33266553391391,0.58262251956024
2.79847464627164,1.39137354033925,2.47170738008572,0.600627313794253
2.77602966460726,1.45284877466696,2.46424243239889,0.61943130551792
2.81620821447327,1.39592080156861,2.4523926749282,0.592860582841132
2.72032482385343,1.41122736694301,2.47695010314947,0.630274094258549
2.75180903118219,1.38390773967795,2.41940482793812,0.592849063389333
2.81133577947844,1.41366987798734,2.43095894244677,0.597573333663424
2.64173626166876,1.35409579564481,2.41183332018089,0.588744099811151
2.62217690140773,1.31951915737674,2.46004301953981,0.610807606329048
2.68657844225044,1.35691999401301,2.47943145619187,0.614318721373403
2.74688109760266,1.39142266225564,2.386311637357,0.600865810845934
2.736481446508,1.35965860589468,2.37800166649776,0.578476337661955
2.75453833279108,1.37572244421944,2.38868741488334,0.591661425833863
2.80154036531672,1.38320864254598,2.34583937135598,0.580033045166095
2.73851045044001,1.37669988118228,2.37952761673668,0.601176380552371
2.69234319532548,1.33812384038087,2.41400399686169,0.604036513367342
2.67107563324268,1.29100293695857,2.4253503036835,0.59430090201038
2.66570235800061,1.31478673566298,2.41906874626927,0.599520138948483
2.69504609288011,1.33324615513514,2.36363906510494,0.573868816715193
2.81438932594689,1.36897008065768,2.42419009006079,0.60267709615648
2.77883358277484,1.36704291814801,2.42953439528282,0.595486048802452
2.84220868349785,1.42261104612333,2.44633713195566,0.610711947860618
2.83202868338255,1.35853195592488,2.38169164424635,0.58106464149976
2.81331477316513,1.38015361865227,2.442350347091,0.597324152877345
2.75928330349431,1.36947826750286,2.4395535924995,0.595733355201442
2.80283148664803,1.39917214823644,2.46014132067771,0.612563087444332
2.71472681048345,1.36542265441476,2.47233723720036,0.621154060841529
2.6642032468708,1.32970479265164,2.51648921441228,0.623970194347316
2.63666879154482,1.26953474403947,2.63868790342318,0.64750068846499
2.5392334476699,1.22976570989297,2.72392073019864,0.685923803259536
2.60184316941745,1.28184921090653,2.65575163115182,0.652967153934211
2.62983367063481,1.29541910580894,2.63298606815591,0.654342383051603
2.66009649876631,1.32807429740057,2.61770865832996,0.656315431840546
2.5454446457305,1.26885455214159,2.56669621952297,0.635920099479645
2.52027441327468,1.23908240788001,2.54890057035346,0.63669982388966
2.4478303188237,1.23499217104802,2.53351848779373,0.63669934395918
2.41636375252862,1.19681409075588,2.47901157115637,0.618246279519602
2.38054861357952,1.18803455603885,2.45751219949282,0.606203415410193
2.38541147603582,1.19023087476249,2.38750339256863,0.577539800918001
2.45893829009725,1.20913062123924,2.42549755293276,0.594519308299197
2.43656580323898,1.20749436429994,2.44879229405202,0.588521744181822
2.47996890596784,1.20480561622186,2.47672031379096,0.604623564142664
2.45685311516987,1.17281045231517,2.45699788270687,0.593967701889936
2.45943703268362,1.21941293250916,2.48601826542034,0.605330819432132
2.57293272346632,1.25803227912441,2.46221114698256,0.589317435285062
2.52241026538553,1.23502578143402,2.42994332420433,0.587103504058824
2.46144385559498,1.21242721120016,2.39600480862086,0.564622616610584
2.4415624230341,1.20410045160036,2.48795551508382,0.610320922179366
2.50016415344069,1.2493567949766,2.53464537572864,0.611562747564773
2.48440167591988,1.20597225217309,2.59056006998681,0.624624238633619
2.51259534234029,1.243057169421,2.61566529022861,0.629112497811383
2.38436830037462,1.17131606526789,2.66204250959664,0.629152199763456
2.44111177044085,1.21067266097329,2.65669735528096,0.63334853543389
2.45384736746991,1.22514359825444,2.67681713723339,0.640256927418683
2.45153833467906,1.2297129281618,2.60272635652446,0.60908284992775
2.42544022483258,1.2058539216033,2.5889451724038,0.619592874035352
2.4581825134354,1.24036537193439,2.68386229646078,0.651135690860975
2.44959933191264,1.22897887293379,2.66213896967025,0.647800340972603
2.4788284823905,1.22590542651432,2.6346053796746,0.656894042732576
2.5272838109976,1.23633563029464,2.64582473154722,0.641755151931479
